Date,Region,Place,Trigger,Depth,Width,Vertical,Aspect,Elevation,Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,longitude
1/31/13,Skyline,Lake Canyon,Natural,"18""",150,150,Northeast,9800,,,Facets,,,,,"39¡ 36' 5.7168"" N","Ê111¡ 18' 25.0308"" W"
1/31/13,Skyline,Skyline,Natural,"18""",250,200,Northeast,9800,,,Facets,,,,,"39¡ 36' 22.3812"" N","Ê111¡ 17' 20.1444"" W"
1/30/13,Ogden,Willard Peak,Natural,,400,1750,East,9200,,,,,,,,"41¡ 22' 48.45"" N","Ê111¡ 58' 22.1808"" W"
1/30/13,Salt Lake,Reynolds Peak,Skier,3',40,500,Northeast,9400,,,New Snow/Old Snow Interface,,,,,"40¡ 39' 45.6156"" N","Ê111¡ 38' 46.9356"" W"
1/30/13,Skyline,Pleasant Creek,Natural,2',175,800,East,10200,,,Density Change,,,,,"39¡ 30' 39.5784"" N","Ê111¡ 19' 12.6156"" W"
1/28/13,Salt Lake,Maybird Gulch,Skier,2',200,500,North,9600,,,Facets,,,,,"40¡ 33' 3.96"" N","Ê111¡ 42' 32.76"" W"
1/28/13,Salt Lake,Back Bowls,Skier,3',80,70,Northwest,9800,,,Facets,,,,,"40¡ 35' 35.9808"" N","Ê111¡ 35' 51.738"" W"
1/28/13,Salt Lake,Back Bowls,Skier,"3""",100,150,Northwest,9900,,,Facets,,,,,"40¡ 35' 35.0412"" N","Ê111¡ 35' 53.1276"" W"
1/27/13,Salt Lake,Snake Creek,Snowboarder,"8""",Unknown,300,Southeast,10100,,,New Snow/Old Snow Interface,,,,,"40¡ 34' 57.8496"" N","Ê111¡ 34' 8.382"" W"
1/27/13,Salt Lake,West Desolation Ridge,Skier,"12""",40,50,,9700,,,New Snow/Old Snow Interface,,,,,"40¡ 39' 21.1212"" N","Ê111¡ 36' 9.9684"" W"
1/26/13,Salt Lake,Red Pine Gulch,,"14""",40,125,Northeast,9600,,,Facets,1,1,,,"40¡ 32' 48.7284"" N","Ê111¡ 41' 50.0892"" W"
1/26/13,Salt Lake,Red Baldy,Skier,"12""",125,400,Northwest,9700,,,Facets,,,,,"40¡ 33' 1.4256"" N","Ê111¡ 39' 57.6936"" W"
1/26/13,Logan,First Dam,Natural,"10""",150,600,Northwest,5600,,,Ground Interface,,,,,"41¡ 44' 27.348"" N","Ê111¡ 47' 8.1168"" W"
1/25/13,Logan,Miller Bowl,Snowmobiler,"12""",200,400,North,8600,,,Facets,,,,,"41¡ 53' 13.2252"" N","Ê111¡ 38' 45.7008"" W"
1/25/13,Ogden,North Ogden Divide,Natural,,,,,,,,,,,,,"41¡ 19' 30.0216"" N","Ê111¡ 53' 23.388"" W"
1/25/13,Logan,Logan Canyon,Unknown,"12""",40,500,North,6000,,,Ground Interface,,,,,"41¡ 49' 54.624"" N","Ê111¡ 35' 32.7336"" W"
1/25/13,Skyline,Fairview Canyon,Unknown,"14""",15,,North,7000,,,Wet grains,,,,,"39¡ 38' 18.528"" N","Ê111¡ 22' 50.7648"" W"
1/25/13,Provo,Provo Canyon,Natural,"12""",30,1750,North,7300,,,Facets,,,,,"40¡ 20' 17.5308"" N","Ê111¡ 35' 30.7248"" W"
1/25/13,Logan,Miller Bowl,Snowmobiler,"14""",200,500,East,8600,,,,,,,,"41¡ 53' 12.7104"" N","Ê111¡ 38' 45.2364"" W"
1/24/13,Provo,Provo Canyon,Natural,"12""",40,1000,Northwest,6200,,,Facets,,,,,"40¡ 21' 1.6884"" N","Ê111¡ 34' 37.5816"" W"
1/24/13,Salt Lake,Bowman Fork,Unknown,unknown,15,Unknown,North,,,,,,,,,"40¡ 41' 33.4104"" N","Ê111¡ 42' 7.6248"" W"
1/23/13,Salt Lake,White Pine,Skier,unknown,50,50,Northwest,9800,,,,,1,,,"40¡ 32' 39.8472"" N","Ê111¡ 40' 26.508"" W"
1/23/13,Ogden,Cold Canyon,Snowboarder,"12""",100,50,Northeast,7300,,,Facets,,,,,"41¡ 22' 21.144"" N","Ê111¡ 56' 15.9324"" W"
1/18/13,Salt Lake,Grandview Peak,Natural,"12""",50,50,East,8100,,,New Snow,,,,,"40¡ 51' 30.5532"" N","Ê111¡ 44' 48.3"" W"
1/18/13,Uintas,Mill Hollow,Snowmobiler,3',150,50,Southeast,8500,2,,Depth Hoar,2,3,,2,none,
1/17/13,Salt Lake,Cardiff Fork,,"6""",20,150,East,10200,,,,,,,,"40¡ 36' 4.2516"" N","Ê111¡ 40' 1.7868"" W"
1/16/13,Salt Lake,Two Trees,Skier,,,,,,,,,,,,,"40¡ 35' 35.394"" N","Ê111¡ 39' 26.3304"" W"
1/15/13,Salt Lake,Little Superior,Skier,2.5',400,1250,Southeast,10000,,,Facets,,1,,,"40¡ 35' 31.5204"" N","Ê111¡ 40' 0.1668"" W"
1/15/13,Provo,Major Evans,Unknown,unknown,Unknown,Unknown,Northeast,10400,,,,,,,,"40¡ 31' 54.5016"" N","Ê111¡ 38' 53.4228"" W"
1/15/13,Salt Lake,Superior,Natural,,60,250,South,11000,,,,,,,,none,
1/13/13,Salt Lake,Cardiac Ridge,Natural,,200,450,East,10000,,,,,,,,"40¡ 36' 12.2256"" N","Ê111¡ 39' 51.6672"" W"
1/13/13,Salt Lake,Monitors,Unknown,,100,,East,9800,,,,,,,,none,
1/13/13,Salt Lake,West Monitor,Skier,unknown,Unknown,500,Northeast,9500,,,,,,,,"40¡ 38' 58.146"" N","Ê111¡ 35' 5.6976"" W"
1/12/13,Salt Lake,West Willow,Skier,"12""",30,60,Northeast,9200,,,Density Change,,,,,"40¡ 38' 36.1104"" N","Ê111¡ 35' 42.1584"" W"
1/12/13,Salt Lake,Mt Aire,Skier,"18""",100,700,Northeast,7900,,,Facets,,,,,"40¡ 43' 16.446"" N","Ê111¡ 40' 37.2432"" W"
1/12/13,Salt Lake,Mt Aire,Skier,"20""",70,Unknown,Northeast,8100,,,Facets,,,,,"40¡ 43' 7.3596"" N","Ê111¡ 40' 44.3532"" W"
1/12/13,Salt Lake,West Porter,Skier,2',700,800,Northeast,9400,1,1,Facets,2,2,1,,"40¡ 40' 7.5288"" N","Ê111¡ 43' 23.9448"" W"
1/12/13,Salt Lake,Antelope Island,Skier,"18""",20,150,Northeast,,,,Depth Hoar,,1,,,"40¡ 58' 48.45"" N","Ê112¡ 12' 28.35"" W"
1/12/13,Salt Lake,Scotties Bowl,Skier,"11""",80,200,Northwest,9500,,,Facets,,,,,"40¡ 33' 52.0164"" N","Ê111¡ 40' 37.2432"" W"
1/12/13,Salt Lake,Butler Fork,Natural,2',300,800,Northeast,10300,,,Depth Hoar,,,,,"40¡ 35' 46.7736"" N","Ê111¡ 43' 11.2764"" W"
1/12/13,Salt Lake,Depth Hoar Bowl,Skier,"18""",125,350,Northeast,9300,,1,Facets,1,1,,,"40¡ 40' 40.5732"" N","Ê111¡ 41' 2.1192"" W"
1/11/13,Salt Lake,Lambs Canyon,,,,,,7000,,,,,,,,none,
1/11/13,Logan,"West side of Cache Valley, above Cutler Reservoir",Natural,,50,150,Northeast,5300,,,Facets,,,,,"41¡ 47' 56.2524"" N","Ê112¡ 0' 47.4048"" W"
1/11/13,Logan,East Goal Post Area,Natural,"12""",Unknown,Unknown,Northwest,9000,,,New Snow/Old Snow Interface,,,,,"41¡ 42' 37.8072"" N","Ê111¡ 43' 58.8612"" W"
1/11/13,Salt Lake,Diving Board,Natural,2.5',300,1250,East,10300,,,Facets,,,,,"40¡ 35' 48.768"" N","Ê111¡ 43' 11.586"" W"
1/11/13,Salt Lake,Depth Hoar Bowl,Skier,"18""",50,500,Northeast,9300,,,Facets,,,,,"40¡ 40' 37.4088"" N","Ê111¡ 40' 57.792"" W"
1/9/13,Salt Lake,Lewis Peak,Snowmobiler,3',100,200,North,9200,,,Facets,,,,,"40¡ 51' 15.5952"" N","Ê111¡ 28' 46.722"" W"
1/9/13,Ogden,Ogden Canyon,Natural,,,450,North,5500,,,,,,,,"41¡ 14' 13.3008"" N","Ê111¡ 54' 8.8092"" W"
1/9/13,Logan,Mathews Hollow,Snowmobiler,unknown,Unknown,Unknown,South,7400,,1,Wet grains,1,1,,,"41¡ 41' 30.444"" N","Ê111¡ 44' 0.5604"" W"
1/9/13,Logan,Providence Canyon,Natural,"10""",40,300,South,6800,,,Wet grains,,,,,"41¡ 41' 30.444"" N","Ê111¡ 44' 0.5604"" W"
1/3/13,Salt Lake,Wolverine,Skier,,,,,,,,,,,,,none,
1/2/13,Salt Lake,Canyons side country,Skier,"12""",50,200,North,9000,,,,,,,,"40¡ 40' 52.4064"" N","Ê111¡ 35' 44.0124"" W"
1/1/13,Skyline,Rolfson,Unknown,3',175,,Northeast,9900,,,Facets,,,,,"39¡ 34' 13.2024"" N","Ê111¡ 17' 37.9104"" W"
1/1/13,Salt Lake,Alta Periphery,Skier,"12""",40,100,Southeast,10400,,,Density Change,,,,,"40¡ 34' 38.136"" N","Ê111¡ 35' 56.2164"" W"
12/31/12,Salt Lake,Bonkers,Natural,3',,,North,9700,,,,,,,,"40¡ 36' 7.5348"" N","Ê111¡ 43' 26.7276"" W"
12/29/12,Ogden,Cutler Ridge,Natural,2',50,100,East,7500,,,New Snow,,,,,"41¡ 22' 27.12"" N","Ê111¡ 56' 25.7676"" W"
12/28/12,Salt Lake,Lackawaxen,Snowboarder,"12""",100,300,East,10500,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 32.2836"" N","Ê111¡ 33' 37.9044"" W"
12/28/12,Salt Lake,Wall of Voodoo,Unknown,,,,Northeast,9400,,,,,,,,none,
12/28/12,Salt Lake,Porter Fork,Skier,2',100,200,Northwest,9000,,,Facets,,,,,none,
12/28/12,Salt Lake,Gobblers,Skier,2',175,450,Northwest,9500,,,Facets,,,,,"40¡ 40' 5.3256"" N","Ê111¡ 41' 23.9784"" W"
12/28/12,Salt Lake,Alexander Chutes,Skier,"18""",50,Unknown,Northwest,9200,,,Facets,,,,,none,
12/28/12,Salt Lake,Lake Mary Chutes,Skier,"14""",20,100,West,9800,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 18.9672"" N","Ê111¡ 35' 43.0872"" W"
12/27/12,Provo,Box Elder,Natural,2.5',80,200,Northwest,10000,,,Facets,,,,,"40¡ 29' 34.1664"" N","Ê111¡ 42' 3.3768"" W"
12/27/12,Skyline,Cove Creek,Natural,3',1/2 mile,700,North,9900,,,Facets,,,,,"39¡ 33' 6.5484"" N","Ê111¡ 19' 2.4204"" W"
12/27/12,Salt Lake,Cinder Chutes,Skier,"12""",30,500,East,9400,,,New Snow,,,,,"40¡ 40' 15.9672"" N","Ê111¡ 35' 59.7696"" W"
12/27/12,Salt Lake,Days Fork,Skier,"14""",60,500,Northeast,10400,,,Density Change,,,,,"40¡ 36' 17.7408"" N","Ê111¡ 38' 33.9576"" W"
12/27/12,Salt Lake,Kessler Peak,Skier,3',50,500,North,9000,,,Facets,,,,,none,
12/27/12,Provo,Provo Canyon,Natural,2.5',400,Unknown,Northeast,10400,,,Facets,,,,,"40¡ 18' 53.5176"" N","Ê111¡ 35' 18.0564"" W"
12/26/12,Logan,Wood Camp,Natural,"12""",100,,East,8000,,,Density Change,,,,,none,
12/26/12,Salt Lake,White Pine,Skier,2.5',50,200,West,9700,,,New Snow/Old Snow Interface,1,1,,,none,
12/26/12,Skyline,GE Hill/Skyline Summit,Natural,2',200,100,North,9600,,,Facets,,,,,"39¡ 37' 52.8276"" N","Ê111¡ 19' 52.7844"" W"
12/24/12,Logan,"West Ridge, Amazon Basin",Unknown,2.5',150,40,Northeast,Unknown,,,,,,,,none,
12/23/12,Salt Lake,Reed and Benson Ridge,Unknown,4.5',35,150,West,9700,,,New Snow/Old Snow Interface,,,,,"40¡ 36' 16.686"" N","Ê111¡ 38' 53.7324"" W"
12/23/12,Salt Lake,Murdock Peak,Unknown,2',70,,North,9400,,,,,,,,"40¡ 41' 36.2184"" N","Ê111¡ 36' 7.65"" W"
12/22/12,Uintas,Whitney Basin,Snowmobiler,3',500,300,Northeast,10400,,,Facets,,,,,"40¡ 50' 17.2752"" N","Ê111¡ 0' 52.6104"" W"
12/22/12,Uintas,Mill Hollow,Snowmobiler,3',150,100,Northeast,9500,,,Facets,,,,,"40¡ 28' 10.9128"" N","Ê111¡ 5' 54.8052"" W"
12/21/12,Skyline,Miller Flat,Snowmobiler,3.5',800,600,Northeast,10200,,,Ground Interface,,,,,"39¡ 34' 15.7008"" N","Ê111¡ 17' 9.4848"" W"
12/21/12,Skyline,Skyline,Snowmobiler,4',900,800,Northeast,Unknown,,,Facets,,,,,none,
12/21/12,Salt Lake,Cinder Chutes,Natural,,,,East,9400,,,Facets,,,,,"40¡ 40' 16.2012"" N","Ê111¡ 35' 59.3088"" W"
12/20/12,Salt Lake,Maybird Gulch,Natural,,,,Northeast,10000,,,,,,,,"40¡ 32' 24.0936"" N","Ê111¡ 42' 23.5368"" W"
12/20/12,Provo,Provo Canyon,Natural,2.5',100,3000,East,9800,,,Facets,,,,,"40¡ 23' 20.328"" N","Ê111¡ 37' 16.4784"" W"
12/20/12,Skyline,Big Drift/Skyline Summit,Snowboarder,4',250,300,Northeast,9400,,,Facets,,,,,"39¡ 37' 8.562"" N","Ê111¡ 19' 33.3192"" W"
12/20/12,Uintas,Currant Creek,Snowboarder,"4""",800,300,Northeast,,,,Facets,,,,,"40¡ 23' 16.3464"" N","Ê111¡ 10' 35.6772"" W"
12/20/12,Uintas,Whitney Basin,Snowmobiler,4',150,300,Northeast,10000,,,Facets,,,,,"40¡ 52' 21.9612"" N","Ê110¡ 58' 26.148"" W"
12/19/12,Salt Lake,Dutch Draw,Snowboarder,2.5',300,700,East,9800,,,New Snow/Old Snow Interface,,,,,"40¡ 39' 16.4304"" N","Ê111¡ 35' 36.906"" W"
12/18/12,Salt Lake,Millicent Peak,Explosive,3.5',250,,Northeast,10200,,,Facets,,,,,none,
12/18/12,Salt Lake,Lackawaxen,Snowboarder,3',80,150,Northeast,10200,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 46.7736"" N","Ê111¡ 33' 34.8552"" W"
12/18/12,Uintas,Currant Creek,Natural,5',1000,500,Northeast,10400,,,Facets,,,,,"40¡ 22' 45.5124"" N","Ê111¡ 10' 27.642"" W"
12/18/12,Uintas,Upper Weber Canyon,,5',400,300,Northeast,9700,,,Ground Interface,,,,,"40¡ 49' 56.9028"" N","Ê111¡ 3' 54.2988"" W"
12/18/12,Provo,Provo,Natural,2.5',,,East,8500,,,Facets,,,,,none,
12/18/12,Provo,Outhouse,Unknown,2',,,East,9900,,,,,,,,"40¡ 32' 12.966"" N","Ê111¡ 38' 18.492"" W"
12/17/12,Logan,Wellsville Mountain Wilderness,Natural,,,2000,East,9000,,,,,,,,"41¡ 38' 16.8936"" N","Ê111¡ 59' 20.8896"" W"
12/17/12,Logan,"Mt, Magog Area",Natural,unknown,,,East,9300,,,,,,,,"41¡ 54' 59.706"" N","Ê111¡ 39' 10.8828"" W"
12/17/12,Logan,Bullen Basin,Natural,3',80,500,Northeast,9600,,,Facets,,,,,"41¡ 55' 52.9284"" N","Ê111¡ 40' 12.8352"" W"
12/17/12,Salt Lake,MacDonalds Draw,Natural,3',200,800,Southeast,9300,,,,,,,,"40¡ 39' 11.592"" N","Ê111¡ 35' 4.1532"" W"
12/17/12,Salt Lake,10420,Natural,"10""",5,50,North,9600,,,New Snow/Old Snow Interface,,,,,"40¡ 36' 17.0352"" N","Ê111¡ 34' 13.17"" W"
12/17/12,Salt Lake,Brighton,,2',50,,North,9900,,,Facets,,,,,"40¡ 35' 33.2808"" N","Ê111¡ 35' 46.0212"" W"
12/17/12,Uintas,Upper Weber Canyon,Natural,2.5',125,200,Northeast,9500,,,Facets,,,,,"40¡ 50' 26.7432"" N","Ê111¡ 2' 54.3516"" W"
12/16/12,Skyline,Skyline Summit,Natural,"15""",250,125,Northeast,9600,,,Facets,,,,,"39¡ 36' 12.8592"" N","Ê111¡ 16' 58.5156"" W"
12/15/12,Salt Lake,Sound of Music,Skier,"14""",50,,East,9100,,,New Snow/Old Snow Interface,,,,,"40¡ 41' 4.9416"" N","Ê111¡ 35' 59.9244"" W"
12/15/12,Salt Lake,Rocky Point,Skier,unknown,Unknown,125,Northeast,10400,,,Density Change,1,1,1,,"40¡ 34' 42.0096"" N","Ê111¡ 35' 50.5032"" W"
12/14/12,Salt Lake,Millicent Peak,Explosive,4',300,900,Northeast,10300,,,Surface Hoar,,,,,"40¡ 34' 55.7364"" N","Ê111¡ 35' 6.7812"" W"
12/14/12,Salt Lake,Two Dogs,Unknown,2.5',60,600,North,10100,,,Facets,,,,,"40¡ 35' 57.4476"" N","Ê111¡ 38' 28.3956"" W"
12/14/12,Salt Lake,Superior,Skier,"14""",20,,North,10700,,,Depth Hoar,,,,,"40¡ 35' 33.2808"" N","Ê111¡ 39' 53.3664"" W"
12/13/12,Salt Lake,Cardiff Fork,,3',50,800,North,10000,,,Ground Interface,,,,,"40¡ 35' 41.7264"" N","Ê111¡ 39' 21.3876"" W"
12/12/12,Skyline,Skyline,Snowmobiler,"12""",150,40,North,9600,,,Facets,,,,,"39¡ 37' 8.7996"" N","Ê111¡ 17' 36.8304"" W"
12/11/12,Salt Lake,MacDonalds Draw,Skier,2',100,400,Northeast,9700,,,Facets,,,,,"40¡ 38' 40.6644"" N","Ê111¡ 34' 40.4364"" W"
12/11/12,Salt Lake,Park City Ski Resort,Skier,"18""",500,Unknown,Northeast,9800,,,Facets,,,,,none,
12/10/12,Salt Lake,Little Water Peak,Skier,"18""",250,400,East,9500,,,Facets,,,,,"40¡ 40' 19.7148"" N",
12/9/12,Salt Lake,Squaretop,Skier,"16""",100,,East,9500,,,Facets,1,1,,,"40¡ 39' 57.8628"" N","Ê111¡ 36' 6.57"" W"
12/9/12,Salt Lake,Reynolds East Face,Skier,"18""",150,200,East,9400,,,Facets,,1,,,"40¡ 39' 44.208"" N","Ê111¡ 38' 43.2276"" W"
12/8/12,Salt Lake,Superior,Unknown,unknown,80,Unknown,South,Unknown,,,New Snow,2,2,,,"40¡ 35' 18.2652"" N","Ê111¡ 39' 34.3656"" W"
12/8/12,Salt Lake,Banana Days,Skier,2',60,600,North,10300,,,Facets,,,,,"40¡ 36' 24.894"" N","Ê111¡ 38' 37.2012"" W"
12/4/12,Logan,Mt. Magog,Skier,"18""",40,Unknown,Northeast,9400,,,Density Change,,,,,"41¡ 54' 56.8332"" N","Ê111¡ 39' 15.2064"" W"
11/29/12,Salt Lake,Snake Creek,Skier,"6""",15,200,Northeast,9700,,,Graupel,,,,,none,
11/12/12,Salt Lake,Silver Fork Headwall,Skier,2.5',60,400,Northeast,9900,,,Facets,,,,,"40¡ 35' 54.7476"" N","Ê111¡ 37' 38.6472"" W"
11/11/12,Salt Lake,Patsy Marly,Skier,2.5',100,100,North,9700,,,New Snow/Old Snow Interface,1,,,,"40¡ 35' 33.4284"" N","Ê111¡ 36' 57.9564"" W"
11/11/12,Salt Lake,upper Days,Skier,3',70,450,North,10200,,,Facets,,,,,"40¡ 35' 57.4476"" N","Ê111¡ 38' 32.334"" W"
11/11/12,Salt Lake,Emma Ridges,Skier,"18""",50,500,Southeast,10200,,,New Snow,,,,,"40¡ 35' 53.9268"" N","Ê111¡ 37' 41.8944"" W"
11/11/12,Salt Lake,Sunset Peak,Skier,3.5',1/4 mile,800,North,10400,,,Facets,,,,,"40¡ 34' 42.924"" N","Ê111¡ 35' 42.3132"" W"
11/10/12,Salt Lake,Pioneer Ridge,Skier,2',20,125,North,9900,,,Facets,,,,,none,
11/10/12,Salt Lake,Pioneer Bowl,Natural,unknown,,,North,9700,,,Facets,,,,,none,
11/10/12,Salt Lake,Grizzly Gulch,Skier,2',125,150,North,10000,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 28.59"" N","Ê111¡ 36' 44.73"" W"
11/9/12,Salt Lake,Sunset Peak,Snowboarder,"14""",80,30,North,10400,,,New Snow/Old Snow Interface,,1,,,"40¡ 34' 40.7172"" N","Ê111¡ 35' 44.9412"" W"
,Moab,Moab,,"3""",100,40,North,10000,,,New Snow,,,,,none,
,Uintas,Uintas,,,,,,,,,,,,,,none,
,Salt Lake,Mill B South,Unknown,3.5',90,,West,8200,,,,,,,,none,
,Salt Lake,Mill B South,Unknown,,,175,Northwest,7500,,,,,,,,none,
,Uintas,Upper Weber Canyon,Natural,2.5',125,150,Northeast,9600,,,Facets,,,,,"40¡ 50' 29.7816"" N"," 111¡ 2' 54.0456"" W"
